,Unnamed: 0,question_id,context,question,quiz_subject_id,question_image,year,examining_board
0,0,2303,,A correção gramatical e os sentidos do texto 1A1BBB seriam mantidos caso se inserisse uma vírgula logo após,5,,2018,cespe
1,1,2304,,Infere-se do texto 1A1AAA que a escrita é uma,5,,2018,cespe
2,2,2305,,"Em cada uma das opções a seguir, é mostrada uma proposta de reescrita para o seguinte período do texto 1A1BBB: “Não há por que negar que a fala é mais antiga que a escrita e que esta lhe é posterior e, em certo sentido, dependente”. Assinale a opção em que a proposta apresentada mantém o sentido original e a correção gramatical do referido trecho.",5,,2018,cespe
3,3,2306,,"Com relação a aspectos linguísticos do texto 1A1AAA, assinale a opção correta.",5,,2018,cespe
4,4,2307,,"No texto 1A1BBB, o trecho “4.040 ações judiciais sobre assédio sexual no trabalho” (R. 6 e 7) tem a mesma função sintática de",5,,2018,cespe
5,5,2308,,"No texto 1A1BBB, a correção gramatical e o sentido do trecho ‘O anonimato ajuda, já que as pessoas se sentem mais protegidas para falar’ (R. 17 e 18) seriam preservados caso se substituísse o termo “já que” por",5,,2018,cespe
6,6,2309,,"Seriam mantidos o sentido e a correção gramatical do texto 1A1AAA, se o trecho “porque incomoda” (l.22) fosse substituído por",5,,2018,cespe
7,7,2310,,"Com relação às ideias do texto 1A1AAA, assinale a opção correta.",5,,2018,cespe
8,8,2311,,"A respeito dos aspectos estruturais e linguísticos do texto 1A1BBB, assinale a opção correta.",5,,2018,cespe
9,9,2312,,"No texto 1A1AAA, ao utilizar a expressão “Isso sem contar” (“Esses estímulos precisam ser processados em conjunto, de modo que o cérebro possa montar uma imagem coerente do indivíduo e de seu ambiente. Isso sem contar os processos de evocação de memórias, planejamento para o futuro e imaginação”), a autora sugere que “os processos de evocação de memórias, planejamento para o futuro e imaginação” fazem parte do conjunto de",5,,2018,cespe
10,10,2313,,"O texto 1A1BBB é construído sobre uma série de dicotomias conceituais, isto é, de pares de noções opostas entre si, a exemplo do formado pelos termos",5,,2018,cespe
11,11,2314,,"Conforme as ideias do texto 1A1BBB,",5,,2018,cespe
12,12,2315,,"As opções a seguir apresentam propostas de reescrita do período “Se um colega constrange o outro, em tese, não há crime, embora tal comportamento possa dar causa a reparação por dano moral.” (R. 21 a 23). Assinale a opção que apresenta proposta de reescrita que, além de manter o sentido original da informação, preserva a correção gramatical do texto.",5,,2018,cespe
13,13,2316,,"As opções a seguir apresentam propostas de reescrita do período “Se um colega constrange o outro, em tese, não há crime, embora tal comportamento possa dar causa a reparação por dano moral."" (R. 21 a 23). Assinale a opção que apresenta proposta de reescrita que, além de manter o sentido original da informação, preserva a correção gramatical do texto.",5,,2018,cespe
14,14,2317,,"No texto 1A1AAA, com o emprego da forma verbal “assumira” (l.9), exprime-se",5,,2018,cespe
15,15,2318,,"A pontuação empregada no texto 1A1AAA permaneceria correta se,
I no primeiro parágrafo, o segundo travessão fosse eliminado.
II na linha 1, fosse inserida vírgula logo após “2017”.
III na linha 14, fosse inserida vírgula logo após ‘1997’.
IV na linha 15, a vírgula logo após ‘persistente’ fosse eliminada.
Assinale a opção correta.",5,,2018,cespe
16,16,2319,,Predomina no texto 1A1AAA a tipologia,5,,2018,cespe
17,17,2320,,"No trecho “O que faz com que a memória se torne seletiva não é o mundo atual, informatizado, rápido e denso em informações. Ela o é por definição, já que sua porta de entrada é um funil poderoso”, o termo “o” — em “Ela o é por definição” — remete ao elemento",5,,2018,cespe
18,18,2321,,O efeito textual pretendido pela autora ao empregar a pergunta que encerra o segundo parágrafo do texto 1A1AAA é o de,5,,2018,cespe
19,19,2322,,"Sem prejuízo para a correção gramatical e para as informações veiculadas no texto 1A1AAA, poderia ser suprimida a vírgula empregada imediatamente após",5,,2018,cespe
20,20,2323,,"No último parágrafo do texto 1A1BBB, a autora sugere que a responsabilidade pela existência da desigualdade social é de todos os indivíduos, entre eles incluído o leitor, o que é denotado pela",5,,2018,cespe
21,21,2324,,"No texto 1A1AAA, as relações sintático-semânticas do período “Embora fosse temido, o apagamento era necessário, assim como o esquecimento também o é para a memória” seriam preservadas caso a conjunção “Embora” fosse substituída por",5,,2018,cespe
22,22,2325,,Seriam mantidos os sentidos e a correção gramatical do texto 1A1AAA caso se substituísse o trecho,5,,2018,cespe
23,23,2326,,"Cada uma das opções seguintes apresenta uma proposta de reescrita do seguinte trecho do texto 1A1BBB: “Quando se trata de enfrentar a desigualdade, não há saída fácil ou receita de bolo”. Assinale a opção em que a reescrita, além de manter o sentido da informação originalmente apresentada, preserva a correção gramatical.",5,,2018,cespe
24,24,2327,,A correção gramatical e o sentido original do texto 1A1BBB seriam preservados caso se substituísse,5,,2018,cespe
25,25,2328,,"No texto 1A1BBB,",5,,2018,cespe
26,26,2329,,Assinale a opção que apresenta trecho do texto 1A1AAA que expressa uma ideia de comparação.,5,,2018,cespe
27,27,2330,,"No último período do texto CG1A1AAA, o vocábulo “portanto”
(L.29) introduz uma ideia de",5,,2017,cespe
28,28,2331,,"Sem prejuízo da correção gramatical e do sentido original do texto
CG1A1AAA, a forma verbal “permanece” (L.10) poderia ser
corretamente substituída por",5,,2017,cespe
29,29,2332,,"Na linha 16 do texto CG3A 1AAA, a forma pronominal “los"",em “respeitá-los"" e “vivenciá-los"", remete a",5,,2017,cespe
30,30,2333,,"Sem prejuízo para a coerência e para a correção gramatical do texto CG1A1AAA, a conjunção “Quando” (l.14) poderia ser substituída por",5,,2017,cespe
31,31,2334,,"No segundo parágrafo do texto CG1A1CCC, o elemento “se” foi empregado em “rir-se” (l.11) para indicar",5,,2017,cespe
32,32,2335,,"Seriam mantidos a correção gramatical e o sentido original do texto CG1A1AAA caso a expressão “de modo que"" (l.11) fosse substituída por",5,,2017,cespe
33,33,2336,,"De acordo com as ideias do texto CG2A1AAA,",5,,2017,cespe
34,34,2337,,"Assinale a opção que apresenta termo que desempenha a mesma função sintática que “a razão” (l.17), no texto CG2A2AAA.",5,,2017,cespe
35,35,2338,,A correção gramatical e os sentidos do texto CG1A1AAA seriam preservados caso a expressão “quando” (l.7) fosse substituída por,5,,2017,cespe
36,36,2339,,"Com relação aos aspectos linguísticos do texto CG2A1BBB, assinale a opção correta.",5,,2017,cespe
37,37,2340,,A correção gramatical e o sentido original do texto CG2A1BBB seriam preservados caso fosse substituída por travessão a vírgula empregada imediatamente após,5,,2017,cespe
38,38,2341,,"Com relação aos aspectos linguísticos do texto CG2A1AAA, assinale a opção correta.",5,,2017,cespe
39,39,2342,,"No segundo parágrafo do texto CG1A1AAA, o pronome “lhe""(R.18) faz referência a",5,,2017,cespe
40,40,2343,,"Em cada uma das opções a seguir é apresentada uma proposta de
reescrita para o seguinte trecho do texto CG1A 1AAA: “Em ambos
os casos, o cidadão é titular de direitos e liberdades em relação ao
Estado e a outros particulares — mas permanece situado fora do
campo estatal” (L. 8 a 10). Assinale a opção em que a proposta
apresentada, além de estar gramaticalmente correta, mantém o
sentido original do texto.",5,,2017,cespe
41,41,2344,,A correção gramatical do texto CG3A 1AAA seria mantida caso,5,,2017,cespe
42,42,2345,,Assinale a opção que apresenta uma proposta de reescrita que preserva o sentido original e a correção gramatical do seguinte trecho do texto CG1A1AAA: “A democracia... povo” (l. 2 a 5).,5,,2017,cespe
43,43,2346,,"No texto CG1A1CCC, funciona como um dos complementos da forma verbal “causando” (l.14) o termo",5,,2017,cespe
44,44,2347,,"Com relação às ideias do texto CG2A1AAA, assinale a opção correta.",5,,2017,cespe
45,45,2348,,"A respeito das ideias e dos sentidos do texto CG2A1BBB, assinale a opção correta.",5,,2017,cespe
46,46,2349,,"No texto CG1A1AAA, o período “Mais valeria que a vida atravessasse as páginas da Lei Maior a se traduzir em palavras que fossem apenas a revelação da justiça” (l. 12 a 14) expressa",5,,2017,cespe
47,47,2350,,"Infere-se do texto CG1A1CCC queI a injustiça faz que as “gerações que vêm nascendo"" (l.3) sejam mais desonestas e rudes que as gerações passadas.II a injustiça é considerada um empecilho à atuação íntegra e idônea das gerações futuras.III a injustiça é responsável pela degradação dos homens, que, desanimados, ficam à mercê do destino.Assinale a opção correta.",5,,2017,cespe
48,48,2351,,"No que se refere ao gênero textual, o texto CG1A1CCC classifica-se como",5,,2017,cespe
49,49,2352,,"No segundo parágrafo do texto CG2A2AAA, a forma verbal “fazê-lo” (l.11) remete a",5,,2017,cespe
50,50,2353,,Prejudicaria a correção gramatical e o sentido original do texto CG1A2AAA a inserção de uma vírgula logo após,5,,2017,cespe
51,51,2354,,"De acordo com o texto CG1A1CCC, as alterações climáticas causam preocupação, entre outros motivos, porque",5,,2017,cespe
52,52,2355,,"Assinale a opção que apresenta uma forma verbal que, no texto CG2A1AAA, exprime uma ideia de hipótese dependente de uma condição.",5,,2017,cespe
53,53,2356,,"De acordo com as ideias veiculadas no texto CG1A1AAA, nos estados democráticos os partidos políticos",5,,2017,cespe
54,54,2357,,Em cada uma das opções a seguir é apresentada uma proposta de reescrita do segundo parágrafo do texto CG1A1AAA. Assinale a opção em que a proposta de reescrita mantém o sentido e a correção gramatical do referido texto.,5,,2017,cespe
55,55,2358,,"No texto CG1A1BBB, o termo “isso” (l.9) retoma as ideias anteriormente expostas, especialmente a ideia de que",5,,2017,cespe
56,56,2359,,"No texto CG1(A)AAA, a expressão “os direitos trabalhistas” (L.6)",5,,2017,cespe
57,57,2360,,"No texto CG3A 1AAA, a forma verbal “devem"", no trecho“os membros de uma corporação profissional (...) tambémdevem ser submetidos ao julgamento ético-moral"" (L. 9 a 12),foi empregada no sentido de",5,,2017,cespe
58,58,2361,,"Em relação aos sentidos e aos aspectos linguísticos do texto
CG3A 1BBB, assinale a opção correta.",5,,2017,cespe
59,59,2362,,"No período que inicia o texto CG1A2AAA, a locução “Desde que"" (l.1) introduz uma ideia de",5,,2017,cespe
60,60,2363,,"Acerca do papel das conjunções na organização argumentativa do texto CG2A2AAA, julgue os itens subsequentes.I A conjunção “porque"" (l.3) combina duas orações que mantêm entre si uma relação de causalidade.II A conjunção “como"" (l.6) indica uma comparação entre as afirmações das orações por ela conectadas.III A conjunção “Logo"" (l.7) introduz um período que explica o raciocínio apresentado em períodos anteriores.IV A conjunção “entretanto"" (l.18) estabelece relação de contraposição entre os conteúdos das orações por ela combinadas.Estão certos apenas os itens",5,,2017,cespe
61,61,2364,,"No texto CG2A1AAA, o vocábulo “conjugação” (l.8) está empregado com o sentido de",5,,2017,cespe
62,62,2365,,"De acordo com o texto CG1A1BBB, o processo de permineralização celular pode ser compreendido como a",5,,2017,cespe
63,63,2366,,"No trecho “em uma época anterior à dos dinossauros” (l. 2 e 3) do texto CG1A1BBB, o emprego do sinal indicativo de crase decorre da",5,,2017,cespe
64,64,2367,,"De acordo com as ideias do texto CG1A 1AAA,",5,,2017,cespe
65,65,2368,,"Seriam mantidas a correção gramatical e o sentido original do texto
CG1A 1AAA, caso, no trecho “Como lembra Marilena Chaui, a
cidadania se define pelos princípios da democracia, significando
necessariamente conquista e consolidação social e política”
(L. 21 a 23),",5,,2017,cespe
66,66,2369,,"Segundo o texto CG3A 1BBB,",5,,2017,cespe
67,67,2370,,"No texto CG3A 1BBB, a oração “ao se discutir uma proposta
educacional baseada em competências” (L. 25 e 26) exprime,
no período em que ocorre, uma ideia de",5,,2017,cespe
68,68,2371,,"A correção gramatical, a coerência e o sentido do texto CG2A1AAA seriam mantidos caso a forma verbal “tem ajudado” (l.22) fosse substituída por",5,,2017,cespe
69,69,2372,,A correção e o sentido do texto CG1A1AAA seriam preservados caso se inserisse uma vírgula logo após,5,,2017,cespe
70,70,2373,,"No texto CG1A1BBB, o vocábulo ‘emana’ (l.2) foi empregado com o sentido de",5,,2017,cespe
71,71,2374,,"No último parágrafo do texto CG1A1CCC, a forma pronominal “la”, em “apontá-la” (l.19), retoma",5,,2017,cespe
72,72,2375,,"Em relação aos aspectos linguísticos do texto CG1A2AAA, julgue os itens a seguir.

I A correção gramatical e o sentido original do texto seriam mantidos caso se substituísse “foi adotada"" (l.1) por se adotou.

II A oração “apertar a tecla branca"" (l.5) exerce, no período em que ocorre, a função de complemento da forma verbal “basta"".

III A correção gramatical do texto seria mantida caso o trecho “devem se lembrar"" (l. 14 e 15) fosse reescrito de qualquer uma das seguintes formas: devem-se lembrar ou devem lembrar-se.

Assinale a opção correta.",5,,2017,cespe
73,73,2376,,Compreende-se do texto CG1A1AAA que o ser humano tem direito,5,,2017,cespe
74,74,2377,,"Conforme as ideias do texto CG1A1BBB,",5,,2017,cespe
75,75,2378,,"A correção gramatical do texto CG1A1CCC seria mantida caso

I o termo “sob"" (l.7) fosse substituído por em.

II a forma verbal “ver"", em todas as suas ocorrências no segundo parágrafo, fosse flexionada no plural — verem.

III a forma verbal “é"" (l.17) fosse suprimida.

IV o acento indicativo de crase em “à opinião pública"" (l.19) fosse suprimido.

Estão certos apenas os itens",5,,2017,cespe
76,76,2379,,"No último período do texto CG1A 1AAA, o vocábulo “portanto”
(L.29) introduz uma ideia de",5,,2017,cespe
77,77,2380,,"No texto CG3A 1AAA, a locução “uma vez que"" (L.28) introduzno período em que ocorre uma ideia de",5,,2017,cespe
78,78,2381,,"De acordo com as ideias do texto CG1A1AAA,",5,,2017,cespe
79,79,2382,,"Seriam mantidas a correção gramatical e o sentido original do texto
CG1A1AAA, caso, no trecho “Como lembra Marilena Chaui, a
cidadania se define pelos princípios da democracia, significando
necessariamente conquista e consolidação social e política”
(L. 21 a 23),",5,,2017,cespe
